Category,Flow/Section,Source,User Story,Acceptance Criteria (Gherkin),QA Validation Notes
Critical Flow,Enterprise Service Inquiry,Both,"As a potential client, I want to navigate from the home page to the services page and eventually contact Rubric so that I can inquire about their SQE services.","Given I am on the Home page ('/')
When I click on the 'SERVICES' link in the Navbar
Then I should be redirected to the Services page ('/services')
And I should see the heading 'Specialized Service Tiers'
When I click the 'SCHEDULE CONSULTATION' button
Then I should be redirected to the Contact page ('/contact')
And I should see the 'Let's build better digital' headline",Verify that the Navbar 'Services' link correctly routes to /services. Verify that the 'SCHEDULE CONSULTATION' button on the Services page correctly routes to /contact.
Critical Flow,Technical Platform Evaluation,Both,"As a Technical Lead, I want to review the Enterprise Platform's technical metrics and request access so that I can evaluate its architectural control capabilities.","Given I am on the Enterprise Platform page ('/platform')
Then I should see metrics for 'Uptime SLA', 'Data Encryption', 'Global Nodes', and 'Support Cycle'
And I should see the heading 'Architectural Control.'
When I click the 'REQUEST ACCESS' button
Then a request action should be initiated","Verify the presence of the 4 key metrics (99.99%, AES-256, 12+, 24/7) on the /platform page."
Critical Flow,Career Discovery & Application,Both,"As a Senior Engineer, I want to explore Rubric's culture and view open roles so that I can apply to join the collective.","Given I am on the Careers page ('/careers')
Then I should see the 'Join the Collective.' hero heading
And I should see the 'Rubric Academy' section
When I scroll to the 'Current Openings' section
Then I should see job openings like 'Senior SQE Consultant'
When I click the 'SEND SPECULATIVE CV' button
Then a mailto link to 'careers@rubric.co.za' should be triggered",Verify the 'Rubric Academy' section exists on the Careers page. Test the 'SEND SPECULATIVE CV' button for correct mailto link behavior.
Critical Flow,Global Office Verification,Both,"As a business partner, I want to verify Rubric's physical presence in Johannesburg and Mauritius so that I can coordinate regional engagements.","Given I am on the Contact page ('/contact')
Then I should see office details for 'Johannesburg' (South Africa)
And I should see office details for 'Grand Baie' (Mauritius)
And Johannesburg address should be 'The District, 8 Arnold Rd, Rosebank'","Confirm Johannesburg address: 'The District, 8 Arnold Rd, Rosebank'."
Critical Flow,Header Navigation & Branding,Both,"As a site visitor, I want to use the header navigation and see the brand logo so that I can easily move between pages and identify the company.","Given I am on any page
Then I should see the Rubric logo in the Navbar
When I click the Rubric logo
Then I should be redirected to the Home page ('/')
When I click 'About' in the Navbar
Then I should be redirected to the About page ('/about')
When I click the 'CONTACT' button in the Navbar
Then I should be redirected to the Contact page ('/contact')",Verify Navbar links and logo behavior.
Critical Flow,Mobile Navigation,Both,"As a mobile user, I want to use a mobile-friendly menu so that I can navigate the site on my smartphone.","Given I am on the Home page with a mobile viewport width
Then I should see a menu toggle icon (hamburger)
When I click the menu toggle icon
Then I should see the mobile navigation overlay with links to 'About', 'Services', 'Platform', etc.
When I click 'Services' in the mobile menu
Then the menu should close and I should be redirected to the Services page ('/services')",Verify mobile menu toggle and responsiveness.
Critical Flow,Footer Exploration,Both,"As a site visitor, I want to use the footer links to find information about the company's social presence and legal details.","Given I am at the bottom of any page
Then I should see the Rubric logo in the Footer
And I should see social links (LinkedIn, Twitter, GitHub)
And I should see 'Specialized Units' and 'Core Navigation' columns",Verify footer content and social links.
Critical Flow,Brand Construction & About Page,Both,"As a potential partner, I want to read about the company's history and mission so that I can understand their values.","Given I am on the About page ('/about')
Then I should see the 'Precision is our foundation.' hero heading
And I should see the 'Established 2007' metric
And I should see the 'Global Vision' section",Verify About page content.
Prototype Flow,Specialized QA Assessment Deep-Dive,Stitch only,"As a QA Director, I want a dedicated page for SQE assessments so that I can deep-dive into Rubric's specific testing methodologies.",N/A (Prototype only),The Stitch prototype includes a dedicated 'QA & Testing Assessments' landing page.
Gap Analysis,QA Specialized Page,Stitch only,N/A,N/A,Stitch has a dedicated 'QA & Testing Assessments' screen which is currently not a separate route in the React app.
Gap Analysis,Navigation Interactions,Prototype only,N/A,N/A,The Stitch prototype implies complex hover states for the 'Impact Vector'.
Gap Analysis,Data Persistence,Implemented,N/A,N/A,The Contact form in React is visually complete but requires backend integration.
Gap Analysis,Case Study Filtering,Implemented,N/A,N/A,Stitch implies a filter bar for case studies. Visually present in React but needs functional refinement.
